sample,R1(HA),R2(IA),R3(NVP),R4(AA),R5(HEAA),R6(IBOA),Printability,Tg,Tensile_Strength(MPa),Toughness(MJ/m3)
44,0.29,0,0.06,0.23,0.31,0.11,1,56.4,-29.22,-0.62
45,0.23,0,0.07,0.31,0.33,0.06,1,60.8,-30.68,-0.7
46,0.37,0.17,0.1,0.04,0.2,0.12,1,44.2,-36.98,-0.94
47,0.25,0.35,0.02,0.15,0.13,0.1,1,29.2,-26.97,-17.53
48,0.29,0.28,0.04,0.29,0.1,0,1,36.7,-32.56,-1.35
49,0.04,0.4,0.08,0.33,0.09,0.06,1,40.6,-24.84,-5.53
50,0.43,0.24,0,0.06,0.24,0.03,1,33.8,-30.7,-17.05
51,0.34,0.12,0.15,0.24,0.06,0.09,1,47.2,-32.28,-1.33
52,0.31,0.37,0.08,0.18,0,0.06,1,27.5,-6.34,-9.2
53,0.28,0.15,0.03,0.01,0,0.53,1,49.3,-20.44,-0.53
54,0.28,0.33,0,0.07,0.05,0.27,1,31.7,-8.53,-15.26
55,0.36,0.02,0,0.3,0.01,0.31,1,54.3,-16.59,-0.75
56,0.25,0.09,0,0.13,0.34,0.19,1,53.7,-21.56,-0.59
57,0.29,0.29,0.09,0.09,0.17,0.07,1,35.3,-42.27,-1.49
58,0.27,0.41,0,0.11,0.21,0,1,29.7,-15.1,-25.76
59,0.29,0.34,0.02,0.12,0.07,0.16,1,31.4,-16.05,-21.46
60,0.28,0.34,0,0.1,0.28,0,1,34.3,-31.22,-22.56
61,0.23,0.4,0,0.12,0.24,0.01,1,30.1,-20.18,-22.54
62,0.2,0.39,0,0.03,0.2,0.18,1,26.7,-3.25,-3.64
63,0.3,0.4,0.01,0,0.27,0.02,1,27.5,-15.97,-1.12
64,0.35,0.06,0.06,0.17,0.34,0.02,1,54.2,-12.83,-0.23
65,0.27,0.07,0.29,0.06,0.3,0.01,1,49.6,-21.08,-1.18
66,0.1,0.42,0.03,0.2,0.06,0.19,1,32.7,-28.74,-1.09
67,0.06,0.41,0,0.16,0.22,0.15,1,29.6,-14.71,-9.53
68,0.15,0.05,0.21,0.01,0.34,0.24,1,97.3,-21.95,-3.3
69,0.17,0.01,0.2,0.01,0.35,0.26,1,95.4,-10.24,-0.38
70,0.25,0.28,0,0.26,0.18,0.03,1,41.3,-20.56,-2.74
71,0,0.33,0.02,0.07,0.14,0.44,1,33.1,-12.7,-0.26
72,0.08,0.3,0,0.29,0.18,0.15,1,46.6,-25.61,-1.15
73,0.55,0.24,0,0.09,0.09,0.03,1,32.7,-17.67,-22.87
74,0.11,0.43,0.03,0.09,0.27,0.07,1,47.1,-10.77,-6
75,0,0.41,0.22,0.18,0.16,0.03,1,79.3,-29.27,-4.92
76,0.25,0.26,0.01,0.01,0.38,0.09,1,55.4,-11.8,-0.91
77,0.36,0.23,0.03,0.17,0.03,0.18,1,42.8,-38.83,-0.92
78,0.38,0.03,0,0,0.13,0.46,1,52.1,-21.46,-0.81
79,0.43,0.35,0,0.1,0.12,0,1,47.2,-11.76,-25.05
80,0.53,0.25,0,0.03,0.18,0.01,1,30.2,-17.82,-25.02
81,0.51,0.21,0,0.11,0.15,0.02,1,40.7,-49.99,-2.75
82,0.23,0.24,0,0.32,0.13,0.08,1,58.5,-22.32,-0.8
83,0.23,0,0.05,0.14,0.17,0.41,1,89.9,-16.94,-0.34
84,0,0.29,0.17,0.37,0,0.17,1,53.9,-11.03,-0.2
85,0.27,0.19,0.02,0.14,0.13,0.25,1,48.8,-15.17,-0.59
87,0.02,0.26,0.12,0.24,0.2,0.16,1,54.4,-25.8,-0.97
88,0.5,0.02,0.02,0.39,0.04,0.03,1,50.9,-26.82,-0.76
89,0.05,0.13,0.23,0.19,0.01,0.39,1,112.3,-15.39,-0.16
90,0.39,0.19,0,0.13,0.28,0.01,1,41.5,-32.9,-0.96
91,0.11,0.43,0.16,0.12,0.16,0.02,1,42.9,-31.66,-0.47
92,0.12,0.27,0.14,0.09,0.33,0.05,1,49.8,-38.4,-2.12
93,0.17,0.26,0.13,0.09,0.33,0.02,1,48.3,-34.99,-0.59
94,0.33,0,0,0.42,0.16,0.09,1,57.9,-39.88,-1.33
95,0.46,0.25,0,0.08,0.05,0.16,1,30.5,-14.82,-23.17
96,0.27,0.09,0.05,0.4,0.19,0,1,52.7,-43.74,-1.38
97,0.31,0.09,0.2,0.4,0,0,1,55.8,-41.96,-0.93
98,0.33,0,0.03,0.05,0.24,0.35,1,50.3,-24.81,-0.49
99,0.35,0,0,0.07,0.24,0.34,1,48.5,-26.57,-0.61
100,0.47,0.09,0.13,0.06,0,0.25,1,43.6,-35.7,-0.63
101,0.46,0.13,0.12,0.05,0,0.24,1,41.4,-35.32,-0.82
102,0.35,0.23,0,0.34,0.03,0.05,1,45.1,-43.7,-1.11
104,0.08,0.18,0.09,0.35,0.27,0.03,1,69.4,-42.79,-0.88
105,0.18,0.2,0.07,0.27,0.28,0,1,58.6,-36.1,-0.73
106,0.02,0.1,0.34,0.1,0.32,0.12,1,66.3,-41.99,-1.04
107,0.3,0.07,0.29,0.02,0.1,0.22,1,45.9,-25.31,-0.41
108,0.48,0.15,0,0.02,0.31,0.04,1,42.7,-42.24,-1.88
109,0.5,0.3,0,0.15,0.05,0,1,28.7,-15.1,-24.27
110,0.11,0.02,0.02,0.35,0.16,0.34,1,72.5,-28.66,-0.44
111,0.11,0.02,0,0.34,0.19,0.34,1,65.8,-30.46,-0.62
