sample,R1(HA),R2(IA),R3(NVP),R4(AA),R5(HEAA),R6(IBOA),Printability,Tg,Strength,Toughness
1,0.15,0.2,0.02,0.21,0.18,0.24,Y,56.6,45.51,2.33
2,0.25,0.31,0.11,0.02,0.16,0.15,Y,14.2,17.95,12.47
3,0.06,0.17,0.27,0.11,0.27,0.12,Y,54.8,32.74,0.69
4,0,0.1,0.3,0.2,0.2,0.2,Y,56.7,27.81,0.7
5,0.35,0.35,0,0,0.1,0.2,Y,13.1,1.2,2.15
6,0.15,0.34,0.07,0.15,0.1,0.19,Y,42.3,28.33,2.97
7,0.13,0.08,0.16,0.36,0.02,0.25,Y,50.9,20.54,0.32
8,0.14,0.08,0.03,0.26,0.25,0.24,Y,50.1,27.03,1.05
9,0,0,0.5,0,0.3,0.2,Y,126.7,35.42,0.64
10,0,0.05,0,0.25,0.2,0.5,Y,120.9,21.52,0.4
11,0.1,0,0.25,0.25,0.25,0.15,Y,101.7,20.23,0.23
12,0.12,0.25,0.23,0.22,0.15,0.03,Y,54,29.07,0.45
13,0.03,0.14,0.26,0.3,0.22,0.05,Y,78.2,20.54,0.41
14,0.4,0,0.2,0.2,0.2,0,Y,51.8,17.16,0.17
15,0,0.25,0,0.35,0.25,0.15,Y,54.5,19.83,0.99
16,0.5,0.1,0.1,0.1,0.1,0.1,Y,40.5,29.19,2.06
17,0.7,0.1,0.2,0,0,0,Y,21.3,5.35,6.68
18,0.29,0.11,0.19,0.27,0.07,0.07,Y,53.4,32.72,0.93
19,0.28,0.21,0.02,0.15,0.25,0.09,Y,31.4,20.8,10.57
20,0.3,0,0,0.1,0.1,0.5,Y,55.1,25.27,0.38
21,0.13,0.05,0.18,0.05,0.21,0.38,Y,51.5,20.76,0.62
22,0.44,0.21,0.1,0.15,0.1,0,Y,28.8,14.97,15.49
23,0.26,0.04,0.22,0.28,0.07,0.13,Y,48.5,20.74,0.37
24,0.06,0.28,0,0.25,0.33,0.08,Y,47.8,5.83,3.27
25,0.1,0.16,0.18,0.04,0.24,0.28,Y,56.1,20.33,0.41
26,0.05,0.11,0.17,0.18,0.35,0.14,Y,56.6,28.13,0.59
27,0,0.3,0.7,0,0,0,N,500,0,0
28,0.2,0,0.8,0,0,0,Y,99.6,21.79,0.6
29,0.1,0,0.9,0,0,0,N,500,0,0
30,0,0.5,0.5,0,0,0,N,500,0,0
31,0,0.65,0.15,0.2,0,0,N,500,0,0
32,0,0.9,0.1,0,0,0,N,500,0,0
33,0.3,0.3,0.1,0.1,0.1,0.1,Y,34.8,9.55,19.8
34,0.1,0.8,0,0.1,0,0,N,500,0,0
35,0.8,0.1,0,0.1,0,0,Y,28.7,3.67,4.28
36,0.45,0.45,0,0,0.1,0,Y,-2.8,0.57,0.75
37,0.2,0.7,0,0,0,0.1,N,500,0,0
38,0.3,0.5,0.2,0,0,0,Y,9.7,0.53,0.77
39,0.6,0.35,0.05,0,0,0,Y,17.4,0.59,0.6
40,0.5,0.5,0,0,0,0,Y,-8.7,0.2,0.09
41,0.35,0.24,0,0.1,0.17,0.14,Y,37.5,35.33,0.78
42,0.17,0.27,0.11,0.17,0.09,0.19,Y,49.1,17.35,0.24
43,0.14,0.2,0.04,0.11,0.19,0.32,Y,47.5,12.22,0.24
